route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5186_117278,7778008,W1,Clock Tower - Ballybeg,,3,,,
5186_117279,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
5186_117280,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
5186_117281,7778008,W4,Peter Street - Brownes Road,,3,,,
5186_117282,7778008,W5,Hospital - Oakwood,,3,,,
5265_117976,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
5265_117977,7778020,4,Dublin Airport - Waterford,,3,,,
5265_117978,7778020,13,Limerick - Adare - Listowel - Tralee,,3,,,
5265_117979,7778020,14,Limerick - Kerry Airport - Killarney,,3,,,
5265_117980,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
5265_117981,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
5265_117982,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
5265_117983,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
5265_117984,7778020,40,Tralee - Cork - Waterford - Rosslare,,3,,,
5265_117985,7778020,51,Cork - Limerick - Galway,,3,,,
5265_117986,7778020,52,Ballina - Castlebar - Galway,,3,,,
5265_117987,7778020,55,Limerick - Waterford,,3,,,
5265_117988,7778020,64,Galway - Killea,,3,,,
5265_117989,7778020,65,Galway - Athlone - Monaghan,,3,,,
5265_117990,7778020,70,Galway - Mullingar - Dundalk,,3,,,
5265_117991,7778020,72,Limerick - Birr - Athlone,,3,,,
5265_117992,7778020,73,Waterford - Athlone - Longford,,3,,,
5265_117993,7778020,100,Drogheda - Dundalk - Newry,,3,,,
5265_117994,7778020,101,Dublin - Airport - Drogheda,,3,,,
5265_117995,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
5265_117996,7778020,B1,Rail Station - Millfield Centre,,3,,,
5265_117997,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
5265_117998,7778020,115,Dublin - Mullingar,,3,,,
5265_117999,7778020,131,Bray - Wicklow,,3,,,
5265_118000,7778020,132,Dublin - Carnew - Bunclody,,3,,,
5265_118001,7778020,133,Dublin - Wicklow,,3,,,
5265_118002,7778020,160,Dundalk - Ravensdale - Newry,,3,,,
5265_118003,7778020,161,Dundalk - Carlingford - Newry,,3,,,
5265_118004,7778020,162,Dundalk - Monaghan - Clones - Cavan,,3,,,
5265_118005,7778020,167,Dundalk - Louth - Ardee,,3,,,
5265_118006,7778020,168,Dundalk - Annagassan,,3,,,
5265_118007,7778020,170,Cavan - Dundalk,,3,,,
5265_118008,7778020,173,Drogheda West St - Dominck St,,3,,,
5265_118009,7778020,174,Long Walk - Muirhevnamuir,,3,,,
5265_118010,7778020,175,Monaghan - Cootehill - Cavan,,3,,,
5265_118011,7778020,182,Drogheda - Collon - Ardee - Monaghan,,3,,,
5265_118012,7778020,190,Drogheda - Navan - Trim,,3,,,
5265_118013,7778020,201,Lotabeg - Hollyhill - CIT - CUH,,3,,,
5265_118014,7778020,202,Ringmahon - City - Hollyhill (Apple),,3,,,
5265_118015,7778020,203,Lehenaghmore - City Centre - Parklands,,3,,,
5265_118016,7778020,205,Train Station - St. Patrick St - CIT,,3,,,
5265_118017,7778020,206,Grange - Douglas - South Mall,,3,,,
5265_118018,7778020,207,Donnybrook - City Centre - City Centre - Glenheights,,3,,,
5265_118019,7778020,208,Lotabeg - Bishopstown - Curraheen,,3,,,
5265_118020,7778020,209,Patrick St - Audley Place - Lotamore,,3,,,
5265_118021,7778020,212,Kent Station - Blackrock - Mahon Point,,3,,,
5265_118022,7778020,213,Lapps Quay (P&R) - Black Ash,,3,,,
5265_118023,7778020,214,Glanmire - City Centre - CUH,,3,,,
5265_118024,7778020,215,Mahon Point - Ballinlough - Cloghroe,,3,,,
5265_118025,7778020,216,Mount Oval - City - Glasheen - CUH,,3,,,
5265_118026,7778020,219,Mahon - Douglas - CUH/ CIT (South Orb),,3,,,
5265_118027,7778020,220,Ballincollig - Douglas - Carrigaline,,3,,,
5265_118028,7778020,223,Cork - Ringaskiddy - Haulbowline,,3,,,
5265_118029,7778020,225,Cork Airport - Haulbowline,,3,,,
5265_118030,7778020,226,Train Stn - Airport - Kinsale,,3,,,
5265_118031,7778020,233,Cork - Macroom,,3,,,
5265_118032,7778020,235,Cork - Rylane - Stuake,,3,,,
5265_118033,7778020,236,Cork - Bantry - Castletownbere,,3,,,
5265_118034,7778020,237,Cork - Skibereen - Goleen,,3,,,
5265_118035,7778020,239,Cork - Bandon,,3,,,
5265_118036,7778020,240,Cork - Cloyne - Ballycotton,,3,,,
5265_118037,7778020,241,Cork - Midelton - Whitegate,,3,,,
